book_title,book_description
5 Secrets of The Matrix,My many years of life coaching and family - relationship therapy practice made me realize that regardless of how many books one reads and how many webinars – seminars one attends  the core of the matter is missing. People try to build a rock castle on quicksand that starts running and undermines the future. Even though the time and place of a beginning is an individual decision lack of success speaks for itself. Another false assumption is that life has separate compartments that are not in connection with each other. This belief causes quite a lot of heartache and sadness on the path.In this book  I attempt to awaken your memory by building a bridge between the conscious and the subconscious. I talk about energies in a physical sense. I talk about ancient numerology with ancient astrology; everything that can be physically proven. I do not take on any wildings that cannot fit into my philosophy I call AKIA  for everything is interrelated therefore cosmic knowledge is a mirror of the unseen soul. To help understand I give you the AKIA mantra I put together and encoded for my students AKIA INVOCATIONGreat Creator  who created the Universe  with me in it to look after and further your magnificent work that I accepted in good faith but could not always deliver because through my self-centrednessI chose not to see only look not to listen only hear not to feel only think.Without understanding nature s harmonious cycle I stepped out of it  not suspecting that I would not be protectedand I would become an instrument of outside forces.Please  give me the strength to forgive myselffor every bad deed  I committed againstanybody and anything - including myself –wisdom to others to forgive me.Show me the way back to nature s cyclewhere I can live in peace and dignity without indulging in suffering in a place  where love is unconditional.
Alcoholics Anonymous  4th Edition,Originally published in 1939  when A.A. membership numbered about one hundred  Alcoholics Anonymous has steadily grown in readership. By the time the second edition appeared in 1955  membership had reached over 150 000  and the Big Book  A.A. members’ fond title for their basic text  had reached a distribution of more than 300 000. At the time of the third edition  in March 1976  the worldwide membership of A.A. was estimated at 1 million or more. The basic text  pages 1-164  which had been the foundation of recovery for so many alcoholics remained  and still remains  unchanged. The General Service Conference-approved fourth edition of Alcoholics Anonymous was first printed in October 2001 and has been reprinted 30 times since then. This edition includes 24 new stories that provide contemporary sharing for newcomers seeking recovery from alcoholism in A.A. during the early decades of the 21st century. Sixteen stories are retained from the third edition  including the “Pioneers of A.A.” section  which helps the reader remain linked to A.A.’s historic roots and shows how alcoholics get sober today. More than 30 million copies of the first four editions of the Big Book have been distributed. This is the only A.A.W.S.-authorized e-book version of Alcoholics Anonymous.
Changed From The Inside Out  Loving God,How loving and understanding God will transform your life.The author expresses the importance of knowing God on an intimate level. An amazing transformation invariably takes place as one becomes closer to God. His word  His voice  and His love eventually are easier to understand  hear  and feel. God has a purpose and a plan for all of His children. The Author clearly explains her own personal transformation  and shares her love of God with the reader in a compelling and truthful way.
Emotional Eating Solution,Are You Frustrated With Uncontrollable Food Cravings and Excessive Weight Gain?Discover The Simple Methods to Overcome Your Emotional Eating Habits for Life!* * *LIMITED TIME OFFER! FREE For a Limited Time! (Regular Price $5.99)* * *Dear friend My name is Megan Lacey  and I want to help you to finally overcome your emotional eating habits and stop putting on that unwanted and uneeded weight.With my techniques  you can finally learn how to control your food cravings and learn how to eat for energy  instead of eating for comfort.I m going to take you by the hand and show you exactly how to start overcoming your emotional eating habits starting today.Inside You ll Discover...10 super-simple  yet incredibly effective techniques to combat emotional eatingThe damage emotional eating does not just to your body  but also to your mind. Once you know the harm emotional eating causes  you ll never go back to your old ways!8 Mindset Strategies to employ that will put a halt your emotional eating habits for good... emotional eating is all in your head8 simple techniques to guarantee that you don t fall back into your old habits of emotional eating ever againThe underlying reasons for emotional eating... once you know the root cause  fixing it becomes very simpleMuch  much more!Hurry! For a limited time you can download  Emotional Eating Solution  10 Powerful Techniques to Cure Your Emotional Eating Disorder for Life  for FREE as a limited time introductory offer!Scroll Up & Download Your Copy Right Now!
Finding Me,Sheena Sullivan Morelli and her sisters  Darcy and Regan  receive the unexpected news that their Uncle Gavin Sullivan  the black sheep of the family  has left them a hotel on the Gulf coast of Florida. The gift comes with a twist. They must live together for one year at the hotel and prepare the hotel to receive guests within a year. Sheena  eager to escape her role of unappreciated wife and mother  can t wait for the opportunity to find herself. Dreams of sitting on the beach sipping margaritas are shattered when they see the property in need of renovation. But they begin their work of meeting the challenge. If they succeed  the bulk of Gavin s estate will be theirs. Facing the unexpected  working together  the three sisters learn a lot about each other and the gift of family love.
Goals  How to Set Goals You ll Actually Achieve - A Powerful and Unconventional Approach to Goal Setting,Have you ever experienced frustration when failing to achieve your goals?Would you like to learn how to set goals and achieve them consistently?In this book Steve Pavlina  one of the most respected personal development experts in the world will show you exactly how. Here s what you ll learn in this book - A powerful a goal setting method to ensure you ll achieve your goals- Why some goals make you run in circles and what you can do about it- How to stretch yourself to achieve challenging goals- And much more Don t wait click the BUY button and download your copy today!
Healing The Wounds of Abuse  A Manual For Self Help,A New  Kind  and Gentle Approach to the Issues of Child Abuse.This revolutionary approach to healing the wounds of child abuse suffered by so many people will change your life. Dr. Liederman starts from the assumption that  You re not crazy!  You are a normal person who had to survive extraordinary circumstances and reacted in normal  understandable ways given your situation.This book doesn t waste time with loads of theory and incomprehensible psychologist jargon. It is purposefully written in short  concise language that is easy to remember.This book is written as a practical  daily guide to help those of you dealing with the legacy of childhood abuse.Read this book every day - multiple times a day and see the difference it makes in your life
How to Study the Bible,I will never forget thy precepts; for with them thou hast caused me to live. (Psalm 119 93)There is no situation in life for which you cannot find some word of consolation in Scripture. If you are in affliction  if you are in adversity and trial  there is a promise for you. In joy and sorrow  in health and in sickness  in poverty and in riches  in every condition of life  God has a promise stored up in His Word for you. This classic book by Dwight L. Moody brings to light the necessity of studying the Scriptures  presents methods which help stimulate excitement for the Scriptures  and offers tools to help you comprehend the difficult passages in the Scriptures. To live a victorious Christian life  you must read and understand what God is saying to you. Moody is a master of using stories to illustrate what he is saying  and you will be both inspired and convicted to pursue truth from the pages of God s Word. Previous title  Pleasure & Profit in Bible Study
I Deserve a Donut (And Other Lies That Make You Eat)  A Christian Weight Loss Resource,When you re in a tempting situation  all you can think of is the food. How good it looks. How good it smells. How good it will taste. What you need is a way to break the hold food has on you. I Deserve a Donut will help. It is a hands-on  use-it-in-the-thick-of-the-battle book that will help you renew your mind right when you need it. It is filled with 150+ Bible verses  37 sets of questions  and 20 sets of tips—all specifically chosen to help you take off the lies that make you eat and put on the truth that will set you free. As you renew your mind  you ll notice your desires changing. You ll actually want to follow your boundaries. And that will make it easier to say no to the donut.
Let s Get Digital  How To Self-Publish  And Why You Should (Fourth Edition),Publish like a pro and start building your audience today with the most comprehensive guide on the market. Packed with practical  actionable advice  this brand new fourth edition of Let s Get Digital delivers the very latest best practices on publishing your work and finding readers.· Boost your writing career with marketing strategies that are proven to sell more books.· Get expert tips on platform building  blogging and social media.· Discover which approaches are best for selling fiction vs. non-fiction.· Implement powerful ways to make your ebooks more discoverable.· Increase your visibility by optimizing keywords and categories.· Weigh the pros and cons of Kindle Unlimited  and find out exactly how to tweak your promotional plans depending on whether you stay exclusive to Amazon or opt for wider distribution.And that s just for starters...
Life in Christ  Lessons from Our Lords Miracles and Parables,Original title  Miracles and Parables of Our Lord. Volume 1A deep  inspiring  and often challenging study of the Lord Jesus Christ s miracles and parables. Men who were led by the hand or groped their way along the wall to reach Jesus were touched by his finger and went home without a guide  rejoicing that Jesus Christ had opened their eyes. Jesus is still able to perform such miracles. And  with the power of the Holy Spirit  his Word will be expounded and we ll watch for the signs to follow  expecting to see them at once. Why shouldn t those who read this be blessed with the light of heaven? This is my heart s inmost desire. I can t put fine words together. I ve never studied speech. In fact  my heart loathes the very thought of intentionally speaking with fine words when souls are in danger of eternal separation from God. No  I work to speak straight to your hearts and consciences  and if there is anyone with faith to receive  God will bless them with fresh revelation. - Charles H. SpurgeonIn this first volume  Charles H. Spurgeon expounds on the following miracles • Jesus heals two blind men by touching their eyes (Matthew 9 27-30). • Jesus uses spit to heal another blind man (Mark 8 22-25). • Jesus passes through the midst of those who would kill him (Luke 4 28-30). • Jesus brings a widow s son back to life (Luke 7 11-17). • Jesus releases a woman from a spirit of infirmity (Luke 13 10-13). • Jesus heals ten lepers but only one thanks him (Luke 17 12-16). • Jesus gently rebukes his mother then makes wine for the wedding (John 2 1-5). • Jesus tests a nobleman s faith and his son is healed (John 4 46-53).
