avg_rating,book_title,author_num_unique_books,genres_str,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,reviews_per_month
4.2,The Gifts of Imperfection,53.0,audiobook health inspirational mental-health non-fiction personal-development philosophy psychology self-help spirituality ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.458333333333336
4.27,Daring Greatly,53.0,audiobook business leadership non-fiction parenting personal-development psychology relationships self-help spirituality ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.40625
3.82,Who Moved My Cheese?,69.0,buisness business inspirational leadership management non-fiction personal-development philosophy psychology self-help ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.746212121212125
3.68,"The Secret (The Secret, #1)",55.0,audiobook business inspirational new-age non-fiction personal-development philosophy psychology self-help spirituality ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.98214285714286
3.62,The Happiness Project,21.0,adult audiobook biography biography-memoir inspirational memoir non-fiction personal-development psychology self-help ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.84848484848484
3.99,Getting Things Done,64.0,audiobook business leadership management non-fiction personal-development productivity psychology reference self-help ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.07017543859649
3.89,The 4-Hour Workweek,25.0,audiobook buisness business entrepreneurship finance non-fiction personal-development productivity psychology self-help ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.13461538461539
4.36,Man's Search for Meaning,87.0,biography classics history memoir non-fiction philosophy psychology self-help spirituality ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72972972972973
3.91,The Artist's Way,78.0,art inspirational non-fiction personal-development philosophy psychology reference self-help spirituality writing ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.020833333333334
3.92,10% Happier,7.0,audiobook biography health memoir non-fiction personal-development philosophy psychology self-help spirituality ,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73611111111111
4.07,Mindset,32.0,business education leadership non-fiction parenting personal-development productivity psychology self-help teaching ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.76190476190476
4.04,Essentialism,10.0,audiobook business leadership management non-fiction personal-development philosophy productivity psychology self-help ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.111111111111114
3.94,Blink,68.0,audiobook business leadership non-fiction personal-development philosophy psychology science self-help sociology ,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.14444444444445
4.24,Rising Strong,53.0,audiobook business health inspirational leadership mental-health non-fiction personal-development psychology self-help ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.4
4.0,The War of Art,53.0,art business design non-fiction personal-development philosophy productivity psychology self-help writing ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.21759259259259
