book_title, book_reference, author_names, avg_rating, num_ratings, year_published 
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (ebook),/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,Mark Manson,3.94,515636,2016
How to Win Friends and Influence People (Paperback),/book/show/4865.How_to_Win_Friends_and_Influence_People,Dale Carnegie,4.2,600309,1936
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),/book/show/36072.The_7_Habits_of_Highly_Effective_People,Stephen R. Covey,4.12,517025,1989
The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),/book/show/12609433-the-power-of-habit,Charles Duhigg,4.1,337512,2012
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (Hardcover),/book/show/22318578-the-life-changing-magic-of-tidying-up,Marie Kond\xc5\x8d,3.84,275462,2011
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life (Paperback),/book/show/15843166-you-are-a-badass,Jen Sincero,3.95,139026,2013
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),/book/show/40121378-atomic-habits,James Clear,4.35,116151,2018
Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover),/book/show/8520610-quiet,Susan Cain,4.06,319847,2012
The Four Agreements: A Practical Guide to Personal Freedom (Hardcover),/book/show/6596.The_Four_Agreements,Miguel Ruiz,4.16,199955,1997
The Power of Now: A Guide to Spiritual Enlightenment (Paperback),/book/show/6708.The_Power_of_Now,Eckhart Tolle,4.13,206222,1997
The Gifts of Imperfection (Paperback),/book/show/7015403-the-gifts-of-imperfection,Bren\xc3\xa9 Brown,4.2,106881,2010
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live; Love; Parent; and Lead (Hardcover),/book/show/13588356-daring-greatly,Bren\xc3\xa9 Brown,4.27,126380,2012
The 5 Love Languages: The Secret to Love that Lasts (Kindle Edition),/book/show/23878688-the-5-love-languages,Gary Chapman,4.25,293246,1990
Who Moved My Cheese? (Hardcover),/book/show/4894.Who_Moved_My_Cheese_,Spencer Johnson,3.82,363524,1998
Think and Grow Rich (Paperback),/book/show/30186948-think-and-grow-rich,Napoleon Hill,4.18,213504,1937
The Secret (The Secret; #1),/book/show/52529.The_Secret,Rhonda Byrne,3.68,344937,2006
The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning; Clean My Closets; Fight Right; Read Aristotle; and Generally Have More Fun (Hardcover),/book/show/6398634-the-happiness-project,Gretchen Rubin,3.62,143658,2009
Big Magic: Creative Living Beyond Fear (Hardcover),/book/show/24453082-big-magic,Elizabeth Gilbert,3.92,147505,2015
Getting Things Done: The Art of Stress-Free Productivity (Paperback),/book/show/1633.Getting_Things_Done,David    Allen,3.99,126786,2001
Deep Work: Rules for Focused Success in a Distracted World (Hardcover),/book/show/25744928-deep-work,Cal Newport,4.2,71340,2016
Rich Dad; Poor Dad (Paperback),/book/show/69571.Rich_Dad_Poor_Dad,Robert T. Kiyosaki,4.08,362004,1997
The 4-Hour Workweek (ebook),/book/show/368593.The_4_Hour_Workweek,Timothy Ferriss,3.89,176559,2007
How to Stop Worrying and Start Living (Paperback),/book/show/4866.How_to_Stop_Worrying_and_Start_Living,Dale Carnegie,4.14,77278,1944
Girl; Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be (ebook),/book/show/35542451-girl-wash-your-face,Rachel Hollis,3.71,175163,2018
Man's Search for Meaning (Paperback),/book/show/4069.Man_s_Search_for_Meaning,Viktor E. Frankl,4.36,391847,1946
The Artist's Way: A Spiritual Path to Higher Creativity (Paperback),/book/show/615570.The_Artist_s_Way,Julia Cameron,3.91,93542,1992
Thinking; Fast and Slow (Hardcover),/book/show/11468377-thinking-fast-and-slow,Daniel Kahneman,4.16,302683,2011
10% Happier: How I Tamed the Voice in My Head; Reduced Stress Without Losing My Edge; and Found Self-Help That Actually Works (Hardcover),/book/show/18505796-10-happier,Dan   Harris,3.92,79470,2014
12 Rules for Life: An Antidote to Chaos (Hardcover),/book/show/30257963-12-rules-for-life,Jordan B. Peterson,3.94,98738,2018
Outliers: The Story of Success (Hardcover),/book/show/3228917-outliers,Malcolm Gladwell,4.16,548639,2008
Mindset: The New Psychology of Success (Hardcover),/book/show/40745.Mindset,Carol S. Dweck,4.07,86023,2006
Men Are from Mars; Women Are from Venus (Paperback),/book/show/1274.Men_Are_from_Mars_Women_Are_from_Venus,John Gray,3.56,162742,1992
Essentialism: The Disciplined Pursuit of Less (Hardcover),/book/show/18077875-essentialism,Greg McKeown,4.04,54479,2011
A New Earth: Awakening to Your Life's Purpose (Paperback),/book/show/76334.A_New_Earth,Eckhart Tolle,4.09,155550,2005
The Alchemist (Paperback),/book/show/18144590-the-alchemist,Paulo Coelho,3.88,2085294,1988
Blink: The Power of Thinking Without Thinking (Paperback),/book/show/40102.Blink,Malcolm Gladwell,3.94,483423,2005
Rising Strong (Hardcover),/book/show/23317538-rising-strong,Bren\xc3\xa9 Brown,4.24,54555,2015
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life (Paperback),/book/show/170548.Don_t_Sweat_the_Small_Stuff_and_It_s_All_Small_Stuff,Richard Carlson,3.98,81902,1997
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles (Paperback),/book/show/1319.The_War_of_Art,Steven Pressfield,4,71990,2002
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Paperback),/book/show/95887.Eat_That_Frog_,Brian Tracy,3.88,45697,2001
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone (Hardcover),/book/show/34565022-braving-the-wilderness,Bren\xc3\xa9 Brown,4.15,64298,2017
Awaken the Giant Within: How to Take Immediate Control of Your Mental; Emotional; Physical and Financial Destiny! (Paperback),/book/show/180116.Awaken_the_Giant_Within,Tony Robbins,4.15,55782,1992
Grit: The Power of Passion and Perseverance (Hardcover),/book/show/27213329-grit,Angela Duckworth,4.09,67557,2016
The Willpower Instinct: How Self-Control Works; Why It Matters; and What You Can Do to Get More of It (Hardcover),/book/show/10865206-the-willpower-instinct,Kelly McGonigal,4.15,26219,2011
Better Than Before: Mastering the Habits of Our Everyday Lives (Hardcover),/book/show/22889767-better-than-before,Gretchen Rubin,3.84,33185,2015
The Power of Positive Thinking (Hardcover),/book/show/1134122.The_Power_of_Positive_Thinking,Norman Vincent Peale,4.15,83675,1952
The Magic of Thinking Big (Paperback),/book/show/759945.The_Magic_of_Thinking_Big,David J. Schwartz,4.24,68320,1959
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny (Paperback),/book/show/43877.The_Monk_Who_Sold_His_Ferrari,Robin S. Sharma,3.85,106336,1996
The Highly Sensitive Person: How to Thrive When the World Overwhelms You (Paperback),/book/show/923950.The_Highly_Sensitive_Person,Elaine N. Aron,3.87,29166,1996
Boundaries: When to Say Yes; How to Say No to Take Control of Your Life (Hardcover),/book/show/944267.Boundaries,Henry Cloud,4.21,50350,1992
The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM (Kindle Edition),/book/show/17166225-the-miracle-morning,Hal Elrod,3.93,44377,2012
Flow: The Psychology of Optimal Experience (Paperback),/book/show/66354.Flow,Mihaly Csikszentmihalyi,4.11,54067,1990
Digital Minimalism: Choosing a Focused Life in a Noisy World (Kindle Edition),/book/show/40672036-digital-minimalism,Cal Newport,4.07,31440,2019
Unfu*k Yourself: Get Out of Your Head and Into Your Life (Kindle Edition),/book/show/32738672-unfu-k-yourself,Gary John Bishop,3.86,37196,2016
Feeling Good: The New Mood Therapy (Mass Market Paperback),/book/show/46674.Feeling_Good,David D. Burns,4.03,24430,1980
The Road Less Traveled: A New Psychology of Love; Traditional Values and Spiritual Growth (Paperback),/book/show/347852.The_Road_Less_Traveled,M. Scott Peck,4.06,83161,1978
As a Man Thinketh (Hardcover),/book/show/81959.As_a_Man_Thinketh,James Allen,4.28,57970,1902
Influence: The Psychology of Persuasion (Paperback),/book/show/28815.Influence,Robert B. Cialdini,4.19,99456,1984
You Can Heal Your Life,/book/show/129603.You_Can_Heal_Your_Life,Louise L. Hay,4.16,63058,1984
The 48 Laws of Power (Paperback),/book/show/1303.The_48_Laws_of_Power,Robert Greene,4.16,77020,1998
The Richest Man in Babylon (Paperback),/book/show/1052.The_Richest_Man_in_Babylon,George S. Clason,4.26,108129,1926
Emotional Intelligence: Why It Can Matter More Than IQ (Hardcover),/book/show/26329.Emotional_Intelligence,Daniel Goleman,4.02,81740,1995
The Untethered Soul: The Journey Beyond Yourself (Paperback),/book/show/1963638.The_Untethered_Soul,Michael A. Singer,4.21,49084,2007
