book_title, book_reference, author_names, avg_rating_num_ratings_year_published 
b'The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (ebook)', b'/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck', b'Mark Manson', b'\n                avg rating 3.94 \xe2\x80\x94\n                515523 ratings  \xe2\x80\x94\n                published 2016\n              '
b'How to Win Friends and Influence People (Paperback)', b'/book/show/4865.How_to_Win_Friends_and_Influence_People', b'Dale Carnegie', b'\n                avg rating 4.20 \xe2\x80\x94\n                600207 ratings  \xe2\x80\x94\n                published 1936\n              '
b'The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback)', b'/book/show/36072.The_7_Habits_of_Highly_Effective_People', b'Stephen R. Covey', b'\n                avg rating 4.12 \xe2\x80\x94\n                516965 ratings  \xe2\x80\x94\n                published 1989\n              '
b'The Power of Habit: Why We Do What We Do in Life and Business (Hardcover)', b'/book/show/12609433-the-power-of-habit', b'Charles Duhigg', b'\n                avg rating 4.10 \xe2\x80\x94\n                337471 ratings  \xe2\x80\x94\n                published 2012\n              '
b'The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (Hardcover)', b'/book/show/22318578-the-life-changing-magic-of-tidying-up', b'Marie ;Kond\xc5\x8d', b'\n                avg rating 3.84 \xe2\x80\x94\n                275421 ratings  \xe2\x80\x94\n                published 2011\n              '
b'You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life (Paperback)', b'/book/show/15843166-you-are-a-badass', b'Jen Sincero', b'\n                avg rating 3.95 \xe2\x80\x94\n                138989 ratings  \xe2\x80\x94\n                published 2013\n              '
b'Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition)', b'/book/show/40121378-atomic-habits', b'James Clear', b'\n                avg rating 4.35 \xe2\x80\x94\n                116067 ratings  \xe2\x80\x94\n                published 2018\n              '
b"Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover)", b'/book/show/8520610-quiet', b'Susan Cain', b'\n                avg rating 4.06 \xe2\x80\x94\n                319798 ratings  \xe2\x80\x94\n                published 2012\n              '
b'The Four Agreements: A Practical Guide to Personal Freedom (Hardcover)', b'/book/show/6596.The_Four_Agreements', b'Miguel Ruiz', b'\n                avg rating 4.16 \xe2\x80\x94\n                199900 ratings  \xe2\x80\x94\n                published 1997\n              '
b'The Power of Now: A Guide to Spiritual Enlightenment (Paperback)', b'/book/show/6708.The_Power_of_Now', b'Eckhart Tolle', b'\n                avg rating 4.13 \xe2\x80\x94\n                206171 ratings  \xe2\x80\x94\n                published 1997\n              '
b'The Gifts of Imperfection (Paperback)', b'/book/show/7015403-the-gifts-of-imperfection', b'Bren\xc3\xa9 Brown', b'\n                avg rating 4.20 \xe2\x80\x94\n                106850 ratings  \xe2\x80\x94\n                published 2010\n              '
b'Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live; Love; Parent; and Lead (Hardcover)', b'/book/show/13588356-daring-greatly', b'Bren\xc3\xa9 Brown', b'\n                avg rating 4.27 \xe2\x80\x94\n                126348 ratings  \xe2\x80\x94\n                published 2012\n              '
b'The 5 Love Languages: The Secret to Love that Lasts (Kindle Edition)', b'/book/show/23878688-the-5-love-languages', b'Gary Chapman', b'\n                avg rating 4.25 \xe2\x80\x94\n                293200 ratings  \xe2\x80\x94\n                published 1990\n              '
b'Who Moved My Cheese? (Hardcover)', b'/book/show/4894.Who_Moved_My_Cheese_', b'Spencer Johnson', b'\n                avg rating 3.81 \xe2\x80\x94\n                363496 ratings  \xe2\x80\x94\n                published 1998\n              '
b'Think and Grow Rich (Paperback)', b'/book/show/30186948-think-and-grow-rich', b'Napoleon Hill', b'\n                avg rating 4.18 \xe2\x80\x94\n                213460 ratings  \xe2\x80\x94\n                published 1937\n              '
b'The Secret (The Secret; #1)', b'/book/show/52529.The_Secret', b'Rhonda Byrne', b'\n                avg rating 3.68 \xe2\x80\x94\n                344887 ratings  \xe2\x80\x94\n                published 2006\n              '
b'The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning; Clean My Closets; Fight Right; Read Aristotle; and Generally Have More Fun (Hardcover)', b'/book/show/6398634-the-happiness-project', b'Gretchen Rubin', b'\n                avg rating 3.62 \xe2\x80\x94\n                143642 ratings  \xe2\x80\x94\n                published 2009\n              '
b'Big Magic: Creative Living Beyond Fear (Hardcover)', b'/book/show/24453082-big-magic', b'Elizabeth Gilbert', b'\n                avg rating 3.92 \xe2\x80\x94\n                147472 ratings  \xe2\x80\x94\n                published 2015\n              '
b'Getting Things Done: The Art of Stress-Free Productivity (Paperback)', b'/book/show/1633.Getting_Things_Done', b'David    Allen', b'\n                avg rating 3.99 \xe2\x80\x94\n                126770 ratings  \xe2\x80\x94\n                published 2001\n              '
b'Deep Work: Rules for Focused Success in a Distracted World (Hardcover)', b'/book/show/25744928-deep-work', b'Cal Newport', b'\n                avg rating 4.20 \xe2\x80\x94\n                71318 ratings  \xe2\x80\x94\n                published 2016\n              '
b'Rich Dad; Poor Dad (Paperback)', b'/book/show/69571.Rich_Dad_Poor_Dad', b'Robert T. Kiyosaki', b'\n                avg rating 4.08 \xe2\x80\x94\n                361930 ratings  \xe2\x80\x94\n                published 1997\n              '
b'The 4-Hour Workweek (ebook)', b'/book/show/368593.The_4_Hour_Workweek', b'Timothy Ferriss', b'\n                avg rating 3.89 \xe2\x80\x94\n                176520 ratings  \xe2\x80\x94\n                published 2007\n              '
b'How to Stop Worrying and Start Living (Paperback)', b'/book/show/4866.How_to_Stop_Worrying_and_Start_Living', b'Dale Carnegie', b'\n                avg rating 4.14 \xe2\x80\x94\n                77276 ratings  \xe2\x80\x94\n                published 1944\n              '
b'Girl; Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be (ebook)', b'/book/show/35542451-girl-wash-your-face', b'Rachel Hollis', b'\n                avg rating 3.71 \xe2\x80\x94\n                175138 ratings  \xe2\x80\x94\n                published 2018\n              '
b"Man's Search for Meaning (Paperback)", b'/book/show/4069.Man_s_Search_for_Meaning', b'Viktor E. Frankl', b'\n                avg rating 4.36 \xe2\x80\x94\n                391757 ratings  \xe2\x80\x94\n                published 1946\n              '
b"The Artist's Way: A Spiritual Path to Higher Creativity (Paperback)", b'/book/show/615570.The_Artist_s_Way', b'Julia Cameron', b'\n                avg rating 3.91 \xe2\x80\x94\n                93532 ratings  \xe2\x80\x94\n                published 1992\n              '
b'Thinking; Fast and Slow (Hardcover)', b'/book/show/11468377-thinking-fast-and-slow', b'Daniel Kahneman', b'\n                avg rating 4.16 \xe2\x80\x94\n                302613 ratings  \xe2\x80\x94\n                published 2011\n              '
b'10% Happier: How I Tamed the Voice in My Head; Reduced Stress Without Losing My Edge; and Found Self-Help That Actually Works (Hardcover)', b'/book/show/18505796-10-happier', b'Dan   Harris', b'\n                avg rating 3.92 \xe2\x80\x94\n                79455 ratings  \xe2\x80\x94\n                published 2014\n              '
b'12 Rules for Life: An Antidote to Chaos (Hardcover)', b'/book/show/30257963-12-rules-for-life', b'Jordan B. Peterson', b'\n                avg rating 3.94 \xe2\x80\x94\n                98702 ratings  \xe2\x80\x94\n                published 2018\n              '
b'Outliers: The Story of Success (Hardcover)', b'/book/show/3228917-outliers', b'Malcolm Gladwell', b'\n                avg rating 4.16 \xe2\x80\x94\n                548579 ratings  \xe2\x80\x94\n                published 2008\n              '
b'Mindset: The New Psychology of Success (Hardcover)', b'/book/show/40745.Mindset', b'Carol S. Dweck', b'\n                avg rating 4.07 \xe2\x80\x94\n                85994 ratings  \xe2\x80\x94\n                published 2006\n              '
b'Men Are from Mars; Women Are from Venus (Paperback)', b'/book/show/1274.Men_Are_from_Mars_Women_Are_from_Venus', b'John Gray', b'\n                avg rating 3.56 \xe2\x80\x94\n                162720 ratings  \xe2\x80\x94\n                published 1992\n              '
b'Essentialism: The Disciplined Pursuit of Less (Hardcover)', b'/book/show/18077875-essentialism', b'Greg McKeown', b'\n                avg rating 4.04 \xe2\x80\x94\n                54468 ratings  \xe2\x80\x94\n                published 2011\n              '
b"A New Earth: Awakening to Your Life's Purpose (Paperback)", b'/book/show/76334.A_New_Earth', b'Eckhart Tolle', b'\n                avg rating 4.09 \xe2\x80\x94\n                155527 ratings  \xe2\x80\x94\n                published 2005\n              '
b'The Alchemist (Paperback)', b'/book/show/18144590-the-alchemist', b'Paulo Coelho', b'\n                avg rating 3.88 \xe2\x80\x94\n                2085128 ratings  \xe2\x80\x94\n                published 1988\n              '
